ID,Trial,Fam,Temp,lnTMG,pop
CA18B4,3,13CA,20,0.018897778,CA
CA18B4,4,13CA,35,0.073752794,CA
CA18B5,1,13CA,15,0.291867413,CA
CA18B5,2,13CA,35,0.02140966,CA
CA18B5,3,13CA,30,0.249337411,CA
CA18B6,1,13CA,20,0.196880146,CA
CA18B6,2,13CA,40,0.026513866,CA
CA18B6,3,13CA,35,0.130127187,CA
CA18B6,4,13CA,25,0.197050438,CA
CA18B7,1,13CA,25,0.289220556,CA
CA18B7,2,13CA,35,0.033133288,CA
CA18B7,3,13CA,20,0.216082965,CA
CA18B7,4,13CA,30,0.074464046,CA
CA18B8,1,13CA,30,0.239216616,CA
CA18B8,2,13CA,20,0.184318008,CA
CA18B8,3,13CA,25,0.174332519,CA
CA18B8,4,13CA,15,0.089747585,CA
CA18B9,1,13CA,15,0.215505723,CA
CA18B9,2,13CA,25,0.122856197,CA
CA18B9,3,13CA,35,0.232961133,CA
CA19B1,1,14CA,15,0.127913913,CA
CA19B1,2,14CA,35,0.159590035,CA
CA19B1,3,14CA,25,0.005174647,CA
CA19B2,1,14CA,20,0.14998878,CA
CA19B2,2,14CA,25,0.134564014,CA
CA19B2,3,14CA,35,0.197161657,CA
CA19B2,4,14CA,15,0.076721736,CA
CA19B3,1,14CA,25,0.171088713,CA
CA19B3,2,14CA,35,0,CA
CA19B3,3,14CA,40,0.157260556,CA
CA19B3,4,14CA,15,0.064782992,CA
CA1C1,1,1CA,30,0.351182022,CA
CA1C1,2,1CA,20,0.085227521,CA
CA1C1,3,1CA,40,0.075277703,CA
CA1C1,4,1CA,35,0.070924067,CA
CA1C2,1,1CA,15,0.131747468,CA
CA1C2,2,1CA,20,0.12412742,CA
CA1C2,3,1CA,25,0.126533836,CA
CA1C2,4,1CA,35,0,CA
CA1C3,1,1CA,20,0.265681093,CA
CA1C3,2,1CA,30,0.037121066,CA
CA1C3,3,1CA,40,-0.08519982,CA
CA1C4,1,1CA,25,0.128429269,CA
CA1C4,2,1CA,40,0.09620322,CA
CA1C4,3,1CA,30,0.163407424,CA
CA1C4,4,1CA,15,-0.007662845,CA
CA1C5,1,1CA,30,0.286941469,CA
CA1C5,2,1CA,40,-0.075480656,CA
CA1C5,3,1CA,20,-0.015987295,CA
CA1C5,4,1CA,15,-0.005461997,CA
CA1C6,1,1CA,15,-0.016620594,CA
CA1C6,2,1CA,25,0.049496339,CA
CA1C6,3,1CA,20,0.002095338,CA
CA1C7,1,1CA,20,0.207904979,CA
CA1C7,2,1CA,35,0.090240871,CA
CA1C7,3,1CA,40,-0.054561891,CA
CA1C8,1,1CA,25,0.23761127,CA
CA1C8,2,1CA,20,0.110072561,CA
CA1C8,3,1CA,30,0.119184194,CA
CA1C8,4,1CA,35,-0.032569188,CA
CA20C1,1,15CA,25,0.016997269,CA
CA20C1,2,15CA,30,0.006144398,CA
CA20C1,3,15CA,20,0.044839636,CA
CA20C2,1,15CA,30,0.192456064,CA
CA20C2,2,15CA,40,-0.048024906,CA
CA20C2,3,15CA,35,-0.008061277,CA
CA20C3,1,15CA,20,0.325660427,CA
CA20C3,2,15CA,30,0.038685926,CA
CA20C3,3,15CA,25,0.014022844,CA
CA20C3,4,15CA,15,-0.009592345,CA
CA20C4,1,15CA,35,0.174338985,CA
CA20C4,2,15CA,20,0.087955546,CA
CA20C4,3,15CA,25,0.270393344,CA
CA20C4,4,15CA,15,0.036515537,CA
CA20C5,1,15CA,25,0.151485893,CA
CA20C5,2,15CA,20,-0.019386258,CA
CA20C5,3,15CA,30,-0.024085516,CA
CA20C5,4,15CA,35,0.034007196,CA
CA2C1,1,2CA,30,0.205870864,CA
CA2C1,2,2CA,35,0.001427043,CA
CA2C1,3,2CA,25,0.082880385,CA
CA2C1,4,2CA,20,0,CA
CA2C2,1,2CA,30,-0.074142253,CA
CA2C3,1,2CA,15,0.156882853,CA
